Starting Gen 6 N-Player training for 2000000 episodes on cpu...
Ep     4400 | WinRT:  22.0% | AvgLen: 28.6 | ALoss: -0.003 | CLoss:  0.172 | Ent: 0.201 | Time: 448.4s
Ep     4500 | WinRT:  31.0% | AvgLen: 30.0 | ALoss: -0.001 | CLoss:  0.193 | Ent: 0.221 | Time: 470.6s
Ep     4600 | WinRT:  18.0% | AvgLen: 33.0 | ALoss:  0.002 | CLoss:  0.160 | Ent: 0.177 | Time: 494.2s
Ep     4700 | WinRT:  23.0% | AvgLen: 32.4 | ALoss: -0.001 | CLoss:  0.169 | Ent: 0.212 | Time: 516.3s
Ep     4800 | WinRT:  26.0% | AvgLen: 32.2 | ALoss: -0.001 | CLoss:  0.174 | Ent: 0.210 | Time: 563.4s
Ep     4900 | WinRT:  29.0% | AvgLen: 31.4 | ALoss:  0.001 | CLoss:  0.188 | Ent: 0.230 | Time: 613.7s
Ep     5000 | WinRT:  22.0% | AvgLen: 30.1 | ALoss: -0.004 | CLoss:  0.173 | Ent: 0.238 | Time: 663.8s
Ep     5100 | WinRT:  25.0% | AvgLen: 25.9 | ALoss:  0.000 | CLoss:  0.211 | Ent: 0.244 | Time: 710.0s
Ep     5200 | WinRT:  32.0% | AvgLen: 29.0 | ALoss: -0.002 | CLoss:  0.220 | Ent: 0.225 | Time: 740.2s
Ep     5300 | WinRT:  26.0% | AvgLen: 29.5 | ALoss: -0.000 | CLoss:  0.203 | Ent: 0.214 | Time: 784.9s
Ep     5400 | WinRT:  29.0% | AvgLen: 29.3 | ALoss: -0.000 | CLoss:  0.202 | Ent: 0.213 | Time: 835.0s
Ep     5500 | WinRT:  30.0% | AvgLen: 27.7 | ALoss: -0.003 | CLoss:  0.215 | Ent: 0.220 | Time: 881.8s
Ep     5600 | WinRT:  28.0% | AvgLen: 33.1 | ALoss: -0.002 | CLoss:  0.179 | Ent: 0.172 | Time: 934.5s
Ep     5700 | WinRT:  30.0% | AvgLen: 27.9 | ALoss: -0.001 | CLoss:  0.214 | Ent: 0.202 | Time: 981.7s
Ep     5800 | WinRT:  27.0% | AvgLen: 28.1 | ALoss: -0.002 | CLoss:  0.206 | Ent: 0.207 | Time: 1027.7s
Ep     5900 | WinRT:  29.0% | AvgLen: 32.5 | ALoss: -0.000 | CLoss:  0.190 | Ent: 0.191 | Time: 1078.3s
Ep     6000 | WinRT:  33.0% | AvgLen: 31.2 | ALoss:  0.002 | CLoss:  0.182 | Ent: 0.201 | Time: 1129.2s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen6.pt
Ep     6100 | WinRT:  31.0% | AvgLen: 33.6 | ALoss:  0.003 | CLoss:  0.190 | Ent: 0.191 | Time: 1181.4s
Ep     6200 | WinRT:  30.0% | AvgLen: 38.5 | ALoss:  0.000 | CLoss:  0.153 | Ent: 0.179 | Time: 1237.9s
Ep     6300 | WinRT:  27.0% | AvgLen: 33.6 | ALoss: -0.001 | CLoss:  0.166 | Ent: 0.197 | Time: 1290.9s
Ep     6400 | WinRT:  18.0% | AvgLen: 35.4 | ALoss: -0.000 | CLoss:  0.140 | Ent: 0.183 | Time: 1346.6s
Ep     6500 | WinRT:  18.0% | AvgLen: 32.6 | ALoss: -0.002 | CLoss:  0.139 | Ent: 0.188 | Time: 1399.7s
Ep     6600 | WinRT:  19.0% | AvgLen: 35.6 | ALoss: -0.003 | CLoss:  0.137 | Ent: 0.164 | Time: 1454.4s
Ep     6700 | WinRT:  26.0% | AvgLen: 36.7 | ALoss: -0.001 | CLoss:  0.144 | Ent: 0.160 | Time: 1510.2s
Ep     6800 | WinRT:  31.0% | AvgLen: 32.6 | ALoss: -0.001 | CLoss:  0.186 | Ent: 0.185 | Time: 1561.0s
Ep     6900 | WinRT:  28.0% | AvgLen: 38.7 | ALoss: -0.000 | CLoss:  0.152 | Ent: 0.136 | Time: 1619.8s
