Using device: mps
Loaded Gen 1 model ppo_model_gen1.pt for fine-tuning!
Starting PPO training for 200000 episodes...
Ep     4300 | WinRT:  92.0% | AvgLen: 17.5 | ALoss: -0.002 | CLoss:  0.104 | Ent: 0.077 | Time: 314.6s
Ep     4400 | WinRT:  84.0% | AvgLen: 28.4 | ALoss: -0.001 | CLoss:  0.077 | Ent: 0.058 | Time: 327.5s
Ep     4500 | WinRT:  96.0% | AvgLen: 18.3 | ALoss:  0.001 | CLoss:  0.067 | Ent: 0.056 | Time: 336.6s
Ep     4600 | WinRT:  95.0% | AvgLen:  8.4 | ALoss: -0.002 | CLoss:  0.141 | Ent: 0.114 | Time: 340.8s
Ep     4700 | WinRT:  86.0% | AvgLen: 34.5 | ALoss: -0.000 | CLoss:  0.078 | Ent: 0.046 | Time: 357.2s
Ep     4800 | WinRT:  92.0% | AvgLen: 20.1 | ALoss: -0.001 | CLoss:  0.099 | Ent: 0.064 | Time: 366.7s
Ep     4900 | WinRT:  90.0% | AvgLen: 18.4 | ALoss: -0.002 | CLoss:  0.097 | Ent: 0.067 | Time: 375.9s
Ep     5000 | WinRT:  95.0% | AvgLen: 15.2 | ALoss: -0.001 | CLoss:  0.117 | Ent: 0.078 | Time: 384.0s
  -> Saved checkpoint to ppo_model_gen2.pt
Ep     5100 | WinRT:  86.0% | AvgLen: 21.8 | ALoss: -0.001 | CLoss:  0.097 | Ent: 0.063 | Time: 394.9s
Ep     5200 | WinRT:  91.0% | AvgLen: 30.0 | ALoss: -0.000 | CLoss:  0.066 | Ent: 0.067 | Time: 410.6s
Ep     5300 | WinRT:  87.0% | AvgLen: 20.2 | ALoss: -0.001 | CLoss:  0.114 | Ent: 0.056 | Time: 420.6s
Ep     5400 | WinRT:  95.0% | AvgLen:  8.4 | ALoss:  0.001 | CLoss:  0.118 | Ent: 0.097 | Time: 424.7s
Ep     5500 | WinRT:  95.0% | AvgLen: 27.2 | ALoss: -0.000 | CLoss:  0.050 | Ent: 0.055 | Time: 437.1s
Ep     5600 | WinRT:  89.0% | AvgLen: 14.8 | ALoss: -0.001 | CLoss:  0.131 | Ent: 0.087 | Time: 444.1s
Ep     5700 | WinRT:  88.0% | AvgLen: 10.8 | ALoss:  0.000 | CLoss:  0.186 | Ent: 0.103 | Time: 449.6s
Ep     5800 | WinRT:  86.0% | AvgLen: 24.9 | ALoss: -0.000 | CLoss:  0.090 | Ent: 0.076 | Time: 462.2s
Ep     5900 | WinRT:  89.0% | AvgLen: 15.1 | ALoss: -0.001 | CLoss:  0.134 | Ent: 0.094 | Time: 469.3s
Ep     6000 | WinRT:  94.0% | AvgLen: 15.8 | ALoss: -0.002 | CLoss:  0.089 | Ent: 0.078 | Time: 476.9s
  -> Saved checkpoint to ppo_model_gen2.pt
Ep     6100 | WinRT:  89.0% | AvgLen: 18.9 | ALoss: -0.001 | CLoss:  0.104 | Ent: 0.068 | Time: 485.9s
Ep     6200 | WinRT:  91.0% | AvgLen: 11.0 | ALoss:  0.001 | CLoss:  0.113 | Ent: 0.102 | Time: 491.6s
Ep     6300 | WinRT:  86.0% | AvgLen: 30.6 | ALoss: -0.001 | CLoss:  0.065 | Ent: 0.064 | Time: 506.1s
Ep     6400 | WinRT:  89.0% | AvgLen: 10.0 | ALoss: -0.000 | CLoss:  0.183 | Ent: 0.106 | Time: 511.6s
Ep     6500 | WinRT:  86.0% | AvgLen:  9.9 | ALoss: -0.000 | CLoss:  0.256 | Ent: 0.115 | Time: 517.1s
Ep     6600 | WinRT:  86.0% | AvgLen: 27.9 | ALoss:  0.000 | CLoss:  0.083 | Ent: 0.054 | Time: 531.3s
Ep     6700 | WinRT:  84.0% | AvgLen: 24.0 | ALoss: -0.000 | CLoss:  0.108 | Ent: 0.061 | Time: 543.1s
Ep     6800 | WinRT:  87.0% | AvgLen: 18.6 | ALoss: -0.001 | CLoss:  0.099 | Ent: 0.069 | Time: 553.1s
Ep     6900 | WinRT:  92.0% | AvgLen: 31.4 | ALoss: -0.001 | CLoss:  0.048 | Ent: 0.049 | Time: 568.1s
Ep     7000 | WinRT:  90.0% | AvgLen: 16.7 | ALoss:  0.001 | CLoss:  0.108 | Ent: 0.070 | Time: 576.9s
  -> Saved checkpoint to ppo_model_gen2.pt
Ep     7100 | WinRT:  91.0% | AvgLen:  9.5 | ALoss: -0.002 | CLoss:  0.156 | Ent: 0.116 | Time: 582.2s
Ep     7200 | WinRT:  89.0% | AvgLen: 25.8 | ALoss: -0.000 | CLoss:  0.084 | Ent: 0.054 | Time: 596.0s
Ep     7300 | WinRT:  92.0% | AvgLen: 25.8 | ALoss: -0.001 | CLoss:  0.063 | Ent: 0.056 | Time: 609.9s
Ep     7400 | WinRT:  89.0% | AvgLen: 13.5 | ALoss: -0.001 | CLoss:  0.140 | Ent: 0.107 | Time: 617.0s
Ep     7500 | WinRT:  87.0% | AvgLen: 36.4 | ALoss: -0.000 | CLoss:  0.061 | Ent: 0.057 | Time: 635.9s
Ep     7600 | WinRT:  88.0% | AvgLen: 27.3 | ALoss: -0.001 | CLoss:  0.073 | Ent: 0.071 | Time: 649.9s
Ep     7700 | WinRT:  95.0% | AvgLen:  8.3 | ALoss: -0.001 | CLoss:  0.164 | Ent: 0.108 | Time: 654.8s
Ep     7800 | WinRT:  91.0% | AvgLen:  9.1 | ALoss: -0.000 | CLoss:  0.169 | Ent: 0.111 | Time: 660.0s
Ep     7900 | WinRT:  86.0% | AvgLen: 46.0 | ALoss: -0.000 | CLoss:  0.050 | Ent: 0.045 | Time: 685.5s
Ep     8000 | WinRT:  90.0% | AvgLen: 23.4 | ALoss:  0.001 | CLoss:  0.095 | Ent: 0.076 | Time: 698.6s
  -> Saved checkpoint to ppo_model_gen2.pt
Ep     8100 | WinRT:  93.0% | AvgLen:  8.1 | ALoss: -0.000 | CLoss:  0.184 | Ent: 0.105 | Time: 702.9s
