Using device: mps
Starting PPO training for 500000 episodes...
Ep     4300 | WinRT:  34.0% | AvgLen:  5.6 | ALoss: -0.000 | CLoss:  0.612 | Ent: 1.090 | Time: 133.3s
Ep     4400 | WinRT:  42.0% | AvgLen:  5.9 | ALoss: -0.001 | CLoss:  0.629 | Ent: 1.080 | Time: 136.0s
Ep     4500 | WinRT:  40.0% | AvgLen:  6.6 | ALoss: -0.002 | CLoss:  0.559 | Ent: 1.086 | Time: 139.2s
Ep     4600 | WinRT:  34.0% | AvgLen:  5.5 | ALoss: -0.009 | CLoss:  0.588 | Ent: 1.085 | Time: 142.0s
Ep     4700 | WinRT:  33.0% | AvgLen:  6.5 | ALoss: -0.001 | CLoss:  0.527 | Ent: 1.083 | Time: 145.1s
Ep     4800 | WinRT:  28.0% | AvgLen:  6.4 | ALoss: -0.006 | CLoss:  0.507 | Ent: 1.076 | Time: 148.0s
Ep     4900 | WinRT:  45.0% | AvgLen:  6.3 | ALoss:  0.003 | CLoss:  0.787 | Ent: 1.077 | Time: 151.0s
Ep     5000 | WinRT:  40.0% | AvgLen:  6.6 | ALoss: -0.003 | CLoss:  0.574 | Ent: 1.091 | Time: 154.3s
  -> Saved checkpoint to ppo_model_gen1.pt
Ep     5100 | WinRT:  46.0% | AvgLen:  6.4 | ALoss: -0.002 | CLoss:  0.599 | Ent: 1.090 | Time: 157.9s
Ep     5200 | WinRT:  34.0% | AvgLen:  6.6 | ALoss: -0.014 | CLoss:  0.601 | Ent: 1.060 | Time: 161.2s
Ep     5300 | WinRT:  36.0% | AvgLen:  5.9 | ALoss: -0.009 | CLoss:  0.578 | Ent: 1.051 | Time: 164.2s
Ep     5400 | WinRT:  40.0% | AvgLen:  6.3 | ALoss:  0.002 | CLoss:  0.629 | Ent: 1.072 | Time: 167.2s
Ep     5500 | WinRT:  45.0% | AvgLen:  6.2 | ALoss:  0.004 | CLoss:  0.612 | Ent: 1.081 | Time: 170.1s
Ep     5600 | WinRT:  45.0% | AvgLen:  6.3 | ALoss: -0.007 | CLoss:  0.651 | Ent: 1.062 | Time: 173.1s
Ep     5700 | WinRT:  49.0% | AvgLen:  6.2 | ALoss: -0.002 | CLoss:  0.623 | Ent: 1.077 | Time: 175.9s
Ep     5800 | WinRT:  38.0% | AvgLen:  6.2 | ALoss:  0.003 | CLoss:  0.612 | Ent: 1.052 | Time: 178.7s
Ep     5900 | WinRT:  36.0% | AvgLen:  6.3 | ALoss: -0.002 | CLoss:  0.623 | Ent: 1.056 | Time: 181.8s
Ep     6000 | WinRT:  44.0% | AvgLen:  6.3 | ALoss:  0.009 | CLoss:  0.617 | Ent: 1.047 | Time: 185.4s
  -> Saved checkpoint to ppo_model_gen1.pt
Ep     6100 | WinRT:  44.0% | AvgLen:  6.3 | ALoss: -0.006 | CLoss:  0.587 | Ent: 1.086 | Time: 188.5s
Ep     6200 | WinRT:  40.0% | AvgLen:  6.5 | ALoss:  0.001 | CLoss:  0.613 | Ent: 1.062 | Time: 191.6s
Ep     6300 | WinRT:  38.0% | AvgLen:  6.2 | ALoss: -0.011 | CLoss:  0.561 | Ent: 1.075 | Time: 194.8s
Ep     6400 | WinRT:  39.0% | AvgLen:  6.4 | ALoss: -0.001 | CLoss:  0.590 | Ent: 1.066 | Time: 198.6s
Ep     6500 | WinRT:  45.0% | AvgLen:  6.8 | ALoss: -0.003 | CLoss:  0.635 | Ent: 1.071 | Time: 202.0s
