[... training logs ... (Output was truncated, but full training log is visible above up to Ep 538400)]
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen4.pt
Ep   532200 | WinRT:  54.0% | AvgLen: 12.3 | ALoss:  0.001 | CLoss:  0.263 | Ent: 0.214 | Time: 5027.7s
Ep   532400 | WinRT:  51.0% | AvgLen:  7.4 | ALoss:  0.009 | CLoss:  0.431 | Ent: 0.319 | Time: 5029.7s
Ep   532600 | WinRT:  59.5% | AvgLen: 11.8 | ALoss:  0.001 | CLoss:  0.292 | Ent: 0.236 | Time: 5032.3s
Ep   532800 | WinRT:  53.0% | AvgLen:  7.5 | ALoss:  0.000 | CLoss:  0.441 | Ent: 0.304 | Time: 5034.3s
Ep   533000 | WinRT:  56.5% | AvgLen:  9.5 | ALoss: -0.001 | CLoss:  0.301 | Ent: 0.257 | Time: 5036.6s
Ep   533200 | WinRT:  49.5% | AvgLen:  7.8 | ALoss: -0.003 | CLoss:  0.384 | Ent: 0.304 | Time: 5038.8s
Ep   533400 | WinRT:  52.5% | AvgLen:  8.1 | ALoss:  0.001 | CLoss:  0.450 | Ent: 0.322 | Time: 5040.9s
Ep   533600 | WinRT:  53.5% | AvgLen:  8.2 | ALoss: -0.003 | CLoss:  0.405 | Ent: 0.316 | Time: 5043.1s
Ep   533800 | WinRT:  54.5% | AvgLen:  8.4 | ALoss: -0.001 | CLoss:  0.395 | Ent: 0.284 | Time: 5045.3s
Ep   534000 | WinRT:  53.5% | AvgLen:  8.1 | ALoss:  0.000 | CLoss:  0.385 | Ent: 0.307 | Time: 5047.4s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen4.pt
Ep   534200 | WinRT:  61.5% | AvgLen:  7.5 | ALoss:  0.002 | CLoss:  0.393 | Ent: 0.304 | Time: 5049.4s
Ep   534400 | WinRT:  53.5% | AvgLen:  8.0 | ALoss:  0.000 | CLoss:  0.381 | Ent: 0.294 | Time: 5051.5s
